SalesID,Date,CustomerName,CustomerPhone,CustomerEmail,VehicleMake,VehicleModel,VehicleYear,VehicleColor,VehicleType,VehicleMileage,VehicleEngine,VehicleTransmission,SalePrice,SaleType,SalespersonID,DealershipLocation,FinancingApproved,DownPayment,LoanTerm
26,2023-11-01,Customer 26,555-528-7515,customer26@email.com,BMW,X5,2024,Red,Truck,49805,2.0L I4,Manual,20602,Used,111,San Antonio,True,614,48
27,2023-07-17,Customer 27,555-667-1917,customer27@email.com,Ford,Escape,2023,Red,Truck,35769,2.0L I4,Manual,46051,New,105,San Diego,False,0,0
28,2023-10-23,Customer 28,555-662-4009,customer28@email.com,Nissan,Rogue,2024,White,Coupe,35824,3.6L V6,CVT,38622,Used,115,Houston,False,0,0
29,2023-06-13,Customer 29,555-510-8247,customer29@email.com,Ford,F-150,2021,Black,Coupe,51344,3.6L V6,Automatic,17914,Used,112,Chicago,True,1898,60
30,2023-10-24,Customer 30,555-824-1875,customer30@email.com,BMW,X5,2023,Silver,Sedan,27858,2.5L I4,CVT,19833,Used,102,San Antonio,True,4568,60
31,2023-05-03,Customer 31,555-406-8420,customer31@email.com,Hyundai,Tucson,2020,Gray,Truck,52157,3.5L V6,Manual,32961,New,116,Dallas,False,0,0
32,2023-04-12,Customer 32,555-335-5923,customer32@email.com,Nissan,Altima,2022,Black,Coupe,49422,3.6L V6,Automatic,39806,Used,107,Philadelphia,False,0,0
33,2024-01-11,Customer 33,555-348-8767,customer33@email.com,Ford,F-150,2023,Green,SUV,11286,2.0L I4,Manual,53827,New,101,New York,True,11016,36
34,2023-10-13,Customer 34,555-139-2151,customer34@email.com,Nissan,Altima,2019,Red,Coupe,49651,5.0L V8,Manual,41878,Used,108,New York,True,9883,0
35,2024-01-02,Customer 35,555-951-3267,customer35@email.com,Nissan,Titan,2022,Red,Sedan,38795,3.6L V6,CVT,36368,Used,109,New York,True,686,48
36,2023-12-15,Customer 36,555-561-2601,customer36@email.com,Ford,Mustang,2019,Gray,Truck,11146,2.0L I4,CVT,25642,New,103,San Diego,False,0,0
37,2023-09-04,Customer 37,555-370-3681,customer37@email.com,Audi,Q5,2022,Black,SUV,14248,2.0L I4,Manual,38943,Used,107,San Antonio,True,4630,36
38,2023-10-17,Customer 38,555-569-6987,customer38@email.com,Jeep,Cherokee,2022,Blue,Truck,48600,2.0L I4,CVT,30799,Used,102,Philadelphia,False,0,0
39,2023-04-24,Customer 39,555-177-3505,customer39@email.com,Chevrolet,Traverse,2020,Black,SUV,29202,5.0L V8,Manual,39390,Used,118,New York,True,2488,48
40,2023-11-21,Customer 40,555-561-2118,customer40@email.com,Audi,A4,2021,Gray,Coupe,37892,5.0L V8,CVT,34601,New,104,Philadelphia,False,0,0
41,2023-01-16,Customer 41,555-619-1588,customer41@email.com,Jeep,Cherokee,2019,Silver,SUV,17320,2.5L I4,Manual,26468,New,116,Philadelphia,True,3446,48
42,2023-02-01,Customer 42,555-520-7339,customer42@email.com,Audi,Q5,2024,Silver,SUV,11411,3.6L V6,Manual,23802,New,109,New York,True,5030,60
43,2023-10-28,Customer 43,555-884-4896,customer43@email.com,Hyundai,Sonata,2020,Blue,SUV,9163,3.5L V6,CVT,26247,New,115,Dallas,True,4083,60
44,2023-11-12,Customer 44,555-961-8278,customer44@email.com,Jeep,Grand Cherokee,2023,Green,Coupe,48459,3.6L V6,CVT,49956,Used,110,Dallas,True,3558,72
45,2023-11-25,Customer 45,555-546-1755,customer45@email.com,BMW,X5,2023,Red,SUV,53200,3.5L V6,Automatic,45924,Used,115,Chicago,True,7788,72
46,2023-12-19,Customer 46,555-818-2546,customer46@email.com,Chevrolet,Traverse,2023,Red,Coupe,53649,3.6L V6,CVT,17945,New,109,San Jose,True,4070,48
47,2023-07-24,Customer 47,555-962-9086,customer47@email.com,Hyundai,Elantra,2022,Green,Coupe,29165,2.0L I4,Manual,19337,Used,119,San Diego,True,2744,72
48,2023-12-14,Customer 48,555-693-4872,customer48@email.com,Chevrolet,Silverado,2021,Red,Coupe,10923,3.6L V6,Manual,48239,New,102,Houston,False,0,0
49,2023-12-27,Customer 49,555-747-9099,customer49@email.com,Jeep,Grand Cherokee,2020,Silver,SUV,5765,2.5L I4,Automatic,30937,Used,104,Phoenix,True,1884,36
50,2023-04-01,Customer 50,555-624-8677,customer50@email.com,Toyota,Tacoma,2019,Gray,Coupe,23122,3.6L V6,CVT,22316,Used,120,San Diego,True,1540,48
51,2024-01-05,Customer 51,555-567-7295,customer51@email.com,Nissan,Titan,2019,Gray,Sedan,32749,3.6L V6,Manual,51598,New,109,Phoenix,True,2428,36
52,2023-07-02,Customer 52,555-926-6939,customer52@email.com,Toyota,Camry,2024,Green,SUV,47883,3.5L V6,Manual,39789,New,109,New York,True,1337,72
53,2023-08-27,Customer 53,555-513-1577,customer53@email.com,Ford,F-150,2019,Green,Coupe,6727,2.5L I4,Manual,49954,New,101,Chicago,False,0,0
54,2023-10-05,Customer 54,555-490-2561,customer54@email.com,Nissan,Titan,2021,Blue,SUV,20779,5.0L V8,Manual,58747,Used,107,Dallas,False,0,0
55,2023-11-28,Customer 55,555-178-8360,customer55@email.com,Audi,Q5,2022,White,Truck,21253,2.5L I4,Manual,44380,New,112,Chicago,True,8133,0
56,2023-01-17,Customer 56,555-432-8237,customer56@email.com,Mercedes,C-Class,2021,Black,Sedan,17047,3.6L V6,Automatic,30730,Used,115,Phoenix,True,4281,72
57,2023-04-24,Customer 57,555-121-3095,customer57@email.com,Chevrolet,Traverse,2021,Blue,Truck,12855,2.5L I4,CVT,41060,New,120,Los Angeles,True,3482,60
58,2023-11-15,Customer 58,555-978-6986,customer58@email.com,Nissan,Altima,2019,Blue,Truck,25292,2.0L I4,Automatic,46822,New,117,Chicago,True,879,36
59,2023-01-22,Customer 59,555-984-7440,customer59@email.com,Hyundai,Sonata,2019,Blue,Sedan,42211,5.0L V8,CVT,19797,Used,108,Los Angeles,False,0,0
60,2023-02-24,Customer 60,555-153-8155,customer60@email.com,Chevrolet,Equinox,2022,Blue,SUV,40761,2.5L I4,CVT,59772,New,104,San Jose,False,0,0
61,2023-03-21,Customer 61,555-610-8126,customer61@email.com,Jeep,Cherokee,2020,Silver,Sedan,31511,2.0L I4,CVT,18312,Used,113,San Antonio,False,0,0
62,2023-04-13,Customer 62,555-302-6160,customer62@email.com,Honda,Accord,2022,Black,SUV,12079,2.0L I4,CVT,28664,Used,116,San Jose,True,3543,0
63,2023-06-06,Customer 63,555-629-4791,customer63@email.com,Mercedes,C-Class,2021,Silver,Truck,28356,5.0L V8,Manual,25252,Used,119,Philadelphia,False,0,0
64,2024-01-17,Customer 64,555-123-3048,customer64@email.com,Toyota,RAV4,2023,White,Sedan,54170,5.0L V8,CVT,26342,Used,117,San Jose,True,5087,72
65,2023-07-13,Customer 65,555-696-1860,customer65@email.com,Honda,Civic,2023,Red,Sedan,56668,3.5L V6,Automatic,39843,Used,101,Dallas,False,0,0
66,2023-02-04,Customer 66,555-775-9215,customer66@email.com,Jeep,Grand Cherokee,2021,Gray,Truck,13983,2.0L I4,CVT,57219,Used,109,New York,True,215,60
67,2023-01-04,Customer 67,555-547-8993,customer67@email.com,Mercedes,C-Class,2023,Red,Coupe,21649,2.0L I4,Manual,16375,New,105,Los Angeles,False,0,0
68,2023-11-06,Customer 68,555-399-7614,customer68@email.com,Hyundai,Elantra,2022,White,Truck,10817,2.5L I4,Manual,29032,Used,112,Houston,False,0,0
69,2023-12-20,Customer 69,555-600-1392,customer69@email.com,Hyundai,Tucson,2021,White,Coupe,21388,2.5L I4,CVT,37242,Used,106,Philadelphia,True,6510,36
70,2023-06-15,Customer 70,555-678-7856,customer70@email.com,Toyota,RAV4,2022,Green,Sedan,12935,2.5L I4,Manual,59810,Used,106,Philadelphia,False,0,0
71,2023-10-05,Customer 71,555-560-2126,customer71@email.com,Hyundai,Sonata,2024,Blue,Sedan,7492,2.0L I4,Manual,33716,Used,108,San Diego,True,5245,48
72,2023-11-27,Customer 72,555-478-9660,customer72@email.com,Toyota,Camry,2020,Gray,Coupe,23125,5.0L V8,Automatic,38487,New,106,Chicago,True,82,72
73,2023-07-03,Customer 73,555-914-6491,customer73@email.com,Nissan,Titan,2023,Blue,SUV,15423,2.0L I4,Manual,45964,New,101,Phoenix,False,0,0
74,2023-04-26,Customer 74,555-131-3574,customer74@email.com,Chevrolet,Traverse,2023,Silver,Sedan,13388,3.5L V6,Manual,52680,Used,106,Chicago,False,0,0
75,2023-05-05,Customer 75,555-580-3293,customer75@email.com,Ford,F-150,2021,Silver,Coupe,8217,3.5L V6,Manual,36972,New,106,Phoenix,False,0,0
76,2023-05-01,Customer 76,555-320-7095,customer76@email.com,Mercedes,S-Class,2021,Black,Coupe,47797,5.0L V8,CVT,27972,New,101,Philadelphia,True,1455,36
77,2023-01-27,Customer 77,555-126-6587,customer77@email.com,Ford,Escape,2023,Black,SUV,30862,5.0L V8,CVT,42569,Used,106,San Antonio,True,6796,60
78,2024-01-09,Customer 78,555-698-3207,customer78@email.com,Jeep,Grand Cherokee,2023,Black,SUV,57965,3.5L V6,CVT,57569,Used,104,San Diego,False,0,0
79,2023-11-06,Customer 79,555-448-8112,customer79@email.com,Ford,Escape,2018,Blue,Truck,7742,3.6L V6,Automatic,58710,Used,108,Dallas,True,11155,60
80,2023-10-10,Customer 80,555-531-2593,customer80@email.com,Toyota,Camry,2024,Gray,Sedan,48559,2.0L I4,CVT,54308,New,115,Los Angeles,False,0,0
81,2023-04-13,Customer 81,555-873-9454,customer81@email.com,Honda,Accord,2023,Gray,SUV,47633,2.5L I4,CVT,34264,Used,107,Phoenix,True,1445,48
82,2023-03-14,Customer 82,555-160-1217,customer82@email.com,Honda,Accord,2023,Green,Coupe,59874,2.5L I4,Manual,50995,New,120,Dallas,False,0,0
83,2023-01-15,Customer 83,555-900-3347,customer83@email.com,Ford,F-150,2022,Gray,Truck,54896,3.5L V6,CVT,32152,New,105,Phoenix,False,0,0
84,2024-01-18,Customer 84,555-636-2525,customer84@email.com,Honda,CR-V,2020,White,Truck,14187,5.0L V8,Automatic,17354,Used,113,Chicago,False,0,0
85,2023-02-15,Customer 85,555-354-9288,customer85@email.com,Mercedes,C-Class,2023,Gray,Coupe,34724,2.0L I4,Automatic,53699,Used,108,Houston,False,0,0
86,2023-10-02,Customer 86,555-906-6961,customer86@email.com,BMW,5 Series,2024,Blue,Truck,2537,5.0L V8,Manual,45296,New,111,New York,True,7645,36
87,2023-03-03,Customer 87,555-767-3891,customer87@email.com,Honda,Accord,2023,Blue,Truck,13463,2.0L I4,Manual,42520,Used,119,San Jose,True,6405,0
88,2023-12-12,Customer 88,555-851-2891,customer88@email.com,Jeep,Cherokee,2021,White,Coupe,46735,2.5L I4,Manual,56284,Used,119,San Diego,False,0,0
89,2024-01-30,Customer 89,555-687-9526,customer89@email.com,Audi,A6,2021,Gray,Sedan,31871,3.6L V6,Manual,38375,Used,117,San Jose,True,1251,0
90,2023-08-06,Customer 90,555-525-7582,customer90@email.com,Chevrolet,Traverse,2024,Black,Truck,11559,2.0L I4,CVT,33543,Used,103,Chicago,False,0,0
91,2023-03-21,Customer 91,555-187-6347,customer91@email.com,Ford,Mustang,2021,White,SUV,29629,3.5L V6,Automatic,45566,Used,104,Chicago,False,0,0
92,2023-06-08,Customer 92,555-460-9543,customer92@email.com,Ford,Escape,2023,Silver,Truck,11891,2.5L I4,CVT,36121,Used,103,San Antonio,True,1512,48
93,2023-01-04,Customer 93,555-869-9127,customer93@email.com,Hyundai,Elantra,2020,Silver,Sedan,32846,5.0L V8,Automatic,33461,Used,119,Los Angeles,True,789,36
94,2023-09-01,Customer 94,555-452-6501,customer94@email.com,Nissan,Altima,2018,White,Coupe,23827,2.0L I4,Manual,33916,Used,116,New York,True,1500,72
95,2023-01-17,Customer 95,555-867-4099,customer95@email.com,Toyota,Camry,2024,Black,Sedan,4946,5.0L V8,Manual,49738,Used,107,San Antonio,False,0,0
96,2023-11-18,Customer 96,555-921-4083,customer96@email.com,Jeep,Wrangler,2023,Gray,Truck,24628,3.6L V6,Manual,32455,New,105,Chicago,False,0,0
97,2023-12-19,Customer 97,555-376-1234,customer97@email.com,Honda,Accord,2020,Black,Truck,7268,5.0L V8,Manual,15104,New,116,New York,True,2887,60
98,2023-09-01,Customer 98,555-867-7486,customer98@email.com,Ford,Escape,2024,Black,Truck,11169,3.6L V6,CVT,19071,New,116,San Jose,False,0,0
99,2023-02-12,Customer 99,555-594-2118,customer99@email.com,Ford,Escape,2024,Green,Coupe,9044,5.0L V8,CVT,33992,New,103,Los Angeles,True,4786,0
100,2024-01-28,Customer 100,555-990-2544,customer100@email.com,BMW,3 Series,2024,Silver,SUV,40303,2.5L I4,Manual,36396,New,113,San Jose,False,0,0
101,2023-05-04,Customer 101,555-840-9195,customer101@email.com,BMW,3 Series,2022,Silver,Sedan,53856,2.5L I4,Manual,39181,Used,108,Dallas,False,0,0
102,2023-01-01,Customer 102,555-611-8778,customer102@email.com,Chevrolet,Equinox,2019,Red,Sedan,30316,2.5L I4,Automatic,59206,Used,108,San Diego,False,0,0
103,2023-03-14,Customer 103,555-150-5941,customer103@email.com,Mercedes,S-Class,2022,Silver,Coupe,56268,2.0L I4,CVT,58705,New,105,San Antonio,False,0,0
104,2023-02-02,Customer 104,555-803-5546,customer104@email.com,Chevrolet,Equinox,2020,Silver,Coupe,9078,3.5L V6,CVT,24902,Used,120,San Diego,False,0,0
105,2023-09-24,Customer 105,555-666-7682,customer105@email.com,Ford,F-150,2018,Silver,SUV,46209,3.5L V6,CVT,18379,Used,118,Philadelphia,False,0,0
106,2023-11-20,Customer 106,555-770-2742,customer106@email.com,Mercedes,E-Class,2020,Silver,Coupe,38602,3.5L V6,Automatic,37274,Used,102,San Antonio,True,2031,72
107,2023-02-24,Customer 107,555-679-6281,customer107@email.com,Nissan,Rogue,2018,White,SUV,37754,5.0L V8,Automatic,45493,New,105,San Diego,False,0,0
108,2023-08-02,Customer 108,555-301-8498,customer108@email.com,BMW,3 Series,2021,Green,Coupe,30899,3.6L V6,Automatic,40382,New,108,San Antonio,True,3482,48
109,2023-01-16,Customer 109,555-683-2677,customer109@email.com,Toyota,RAV4,2024,Black,Sedan,28431,5.0L V8,Automatic,20011,Used,105,Phoenix,False,0,0
110,2023-12-31,Customer 110,555-899-1430,customer110@email.com,Hyundai,Elantra,2023,Blue,Coupe,40006,3.6L V6,CVT,45048,Used,115,Houston,True,8817,60
111,2023-08-19,Customer 111,555-786-8408,customer111@email.com,Toyota,RAV4,2018,Red,SUV,6081,2.0L I4,Automatic,39484,Used,118,Chicago,True,5861,48
112,2023-09-05,Customer 112,555-903-6418,customer112@email.com,Toyota,Tacoma,2022,White,SUV,7043,5.0L V8,Automatic,32391,Used,113,New York,True,13,60
113,2023-06-27,Customer 113,555-337-1723,customer113@email.com,Chevrolet,Traverse,2022,Silver,Sedan,24071,5.0L V8,Automatic,22691,New,114,Philadelphia,False,0,0
114,2023-10-24,Customer 114,555-652-6954,customer114@email.com,Nissan,Altima,2022,Gray,Sedan,36220,3.6L V6,Automatic,58671,New,119,Houston,True,11039,60
115,2023-07-05,Customer 115,555-468-4256,customer115@email.com,Ford,Escape,2020,Black,Coupe,23456,3.5L V6,Automatic,54449,Used,101,San Jose,True,10907,0
116,2023-05-28,Customer 116,555-944-3912,customer116@email.com,Ford,Mustang,2018,Red,Truck,50556,3.5L V6,CVT,54549,New,112,Houston,True,9761,60
117,2023-05-17,Customer 117,555-878-8058,customer117@email.com,Mercedes,S-Class,2024,White,Coupe,11467,2.0L I4,Manual,28317,New,118,Chicago,False,0,0
118,2023-09-27,Customer 118,555-630-9255,customer118@email.com,Jeep,Wrangler,2020,Black,Coupe,26499,5.0L V8,Manual,32611,New,110,Chicago,True,6089,48
119,2023-12-22,Customer 119,555-215-3533,customer119@email.com,Chevrolet,Equinox,2022,Silver,Sedan,54832,3.5L V6,Manual,29603,New,110,New York,True,5174,48
120,2023-11-23,Customer 120,555-826-9068,customer120@email.com,BMW,3 Series,2021,Silver,Truck,37807,5.0L V8,Automatic,18516,New,119,Dallas,False,0,0
121,2023-11-07,Customer 121,555-181-1790,customer121@email.com,Toyota,Tacoma,2019,Blue,SUV,41211,3.6L V6,CVT,43855,New,118,Los Angeles,True,4118,0
122,2023-08-16,Customer 122,555-245-2970,customer122@email.com,BMW,5 Series,2019,White,Coupe,23494,3.6L V6,Manual,51917,Used,116,Philadelphia,False,0,0
123,2023-10-01,Customer 123,555-279-7207,customer123@email.com,Honda,Accord,2019,Green,Coupe,20652,3.5L V6,Automatic,36186,New,109,Philadelphia,True,1715,48
124,2023-02-14,Customer 124,555-183-3309,customer124@email.com,Jeep,Wrangler,2019,Black,Truck,26340,2.5L I4,CVT,56723,Used,102,Dallas,False,0,0
125,2023-12-17,Customer 125,555-120-1072,customer125@email.com,Hyundai,Elantra,2018,Black,Coupe,39016,2.0L I4,CVT,34204,New,115,Philadelphia,False,0,0
126,2023-11-16,Customer 126,555-901-6684,customer126@email.com,Jeep,Cherokee,2023,Red,Sedan,58579,5.0L V8,Manual,46906,Used,112,San Diego,False,0,0
127,2023-12-13,Customer 127,555-159-2544,customer127@email.com,Audi,Q5,2024,Silver,Truck,14870,2.0L I4,Automatic,58881,New,104,New York,False,0,0
128,2023-12-31,Customer 128,555-797-4170,customer128@email.com,Nissan,Titan,2018,White,Truck,57449,5.0L V8,Automatic,57254,New,111,San Diego,True,11505,48
129,2023-07-13,Customer 129,555-219-5965,customer129@email.com,Ford,F-150,2019,Silver,Coupe,34040,3.6L V6,CVT,54108,Used,101,Houston,False,0,0
130,2023-04-28,Customer 130,555-817-9343,customer130@email.com,Nissan,Altima,2024,Blue,Truck,34392,2.0L I4,Manual,44291,New,119,Philadelphia,True,66,72
131,2023-08-25,Customer 131,555-814-9143,customer131@email.com,Jeep,Wrangler,2024,Blue,Truck,56402,5.0L V8,Automatic,43458,Used,108,San Diego,True,2562,36
132,2023-09-23,Customer 132,555-556-9340,customer132@email.com,Nissan,Titan,2018,Red,Coupe,9030,2.0L I4,Automatic,58603,Used,110,Houston,True,3823,36
133,2023-08-09,Customer 133,555-139-6347,customer133@email.com,BMW,3 Series,2019,White,Sedan,14591,2.5L I4,Automatic,46293,New,120,New York,True,7380,0
134,2023-10-08,Customer 134,555-905-1058,customer134@email.com,Hyundai,Elantra,2019,Red,Truck,8502,3.5L V6,Automatic,19673,Used,117,Philadelphia,False,0,0
135,2023-04-03,Customer 135,555-624-2848,customer135@email.com,Honda,Civic,2021,Green,Coupe,35234,2.5L I4,CVT,16024,New,106,New York,False,0,0
136,2023-05-02,Customer 136,555-296-2432,customer136@email.com,Audi,A4,2018,Silver,Truck,6439,5.0L V8,Automatic,17812,Used,114,New York,False,0,0
137,2023-09-29,Customer 137,555-597-1947,customer137@email.com,BMW,X5,2022,Black,Sedan,33886,5.0L V8,Automatic,56474,Used,109,San Diego,False,0,0
138,2023-03-19,Customer 138,555-893-9084,customer138@email.com,Toyota,RAV4,2021,White,Coupe,18785,2.0L I4,Automatic,55383,Used,116,San Jose,False,0,0
139,2024-01-24,Customer 139,555-333-2294,customer139@email.com,Chevrolet,Silverado,2020,Silver,Coupe,47869,2.5L I4,Automatic,31202,New,105,Chicago,False,0,0
140,2023-12-01,Customer 140,555-515-7202,customer140@email.com,Ford,Mustang,2023,Black,Sedan,24058,3.6L V6,CVT,52192,Used,112,Dallas,False,0,0
141,2023-10-25,Customer 141,555-423-9470,customer141@email.com,Honda,Accord,2019,Silver,Coupe,38087,3.5L V6,Automatic,31215,Used,118,Philadelphia,True,3085,48
142,2023-04-19,Customer 142,555-638-3329,customer142@email.com,BMW,5 Series,2022,White,Sedan,38522,3.5L V6,CVT,59282,New,110,New York,True,5076,48
143,2023-07-24,Customer 143,555-151-5856,customer143@email.com,Mercedes,S-Class,2021,Black,Coupe,10876,3.6L V6,CVT,29790,Used,120,Houston,False,0,0
144,2023-06-04,Customer 144,555-728-2290,customer144@email.com,Nissan,Titan,2024,Red,Sedan,47122,2.0L I4,CVT,21666,Used,112,Phoenix,True,3638,60
145,2023-12-16,Customer 145,555-952-4869,customer145@email.com,Ford,Mustang,2018,Gray,Coupe,15168,2.5L I4,CVT,37736,Used,108,Phoenix,True,7339,36
146,2023-07-21,Customer 146,555-398-9881,customer146@email.com,Ford,Escape,2024,Red,SUV,17147,2.0L I4,Automatic,47943,Used,109,San Jose,False,0,0
147,2023-03-20,Customer 147,555-426-7976,customer147@email.com,BMW,5 Series,2023,Green,SUV,51768,2.0L I4,Manual,59650,Used,113,Dallas,False,0,0
148,2023-04-24,Customer 148,555-581-7307,customer148@email.com,Audi,A4,2019,Silver,Coupe,12751,3.6L V6,CVT,38662,New,117,San Antonio,True,3541,0
149,2024-01-27,Customer 149,555-540-9026,customer149@email.com,Audi,A6,2023,White,Truck,48529,5.0L V8,Manual,42697,New,107,San Jose,False,0,0
150,2023-06-07,Customer 150,555-940-2891,customer150@email.com,Ford,Mustang,2021,Blue,Sedan,17311,5.0L V8,CVT,42784,New,117,San Jose,False,0,0
151,2023-07-05,Customer 151,555-617-1511,customer151@email.com,BMW,5 Series,2024,Gray,Sedan,35217,5.0L V8,CVT,52357,Used,104,Phoenix,False,0,0
152,2023-02-02,Customer 152,555-624-7364,customer152@email.com,Mercedes,E-Class,2020,Blue,Coupe,19153,2.0L I4,CVT,27375,Used,115,Philadelphia,False,0,0
153,2023-06-12,Customer 153,555-626-5040,customer153@email.com,Audi,Q5,2020,Black,Sedan,42810,3.6L V6,Automatic,37570,Used,116,San Antonio,True,5662,48
154,2023-10-27,Customer 154,555-483-4921,customer154@email.com,Nissan,Titan,2019,Red,SUV,38494,5.0L V8,CVT,36568,Used,116,San Diego,False,0,0
155,2024-01-03,Customer 155,555-485-8698,customer155@email.com,Chevrolet,Traverse,2019,Green,Sedan,22871,2.5L I4,Manual,19035,New,104,Philadelphia,False,0,0
156,2023-10-21,Customer 156,555-341-6499,customer156@email.com,Ford,Mustang,2022,White,SUV,46310,3.6L V6,Automatic,23515,Used,113,Philadelphia,True,2522,0
157,2023-09-18,Customer 157,555-734-2956,customer157@email.com,Honda,CR-V,2019,Black,Coupe,46343,2.5L I4,Automatic,26286,New,113,Houston,False,0,0
158,2023-11-15,Customer 158,555-410-3618,customer158@email.com,BMW,X5,2021,Red,Truck,24710,3.6L V6,Automatic,39651,Used,116,Philadelphia,False,0,0
159,2023-04-20,Customer 159,555-241-6447,customer159@email.com,Hyundai,Elantra,2019,Red,Sedan,30867,2.5L I4,Manual,56591,New,113,San Jose,False,0,0
160,2023-06-08,Customer 160,555-837-3408,customer160@email.com,Chevrolet,Equinox,2020,White,Sedan,58710,2.0L I4,CVT,22152,New,115,New York,False,0,0
161,2023-01-31,Customer 161,555-401-9314,customer161@email.com,Honda,CR-V,2018,White,Sedan,26472,2.0L I4,CVT,33465,Used,116,Los Angeles,False,0,0
162,2023-06-16,Customer 162,555-924-2565,customer162@email.com,Jeep,Grand Cherokee,2018,Red,SUV,26653,2.5L I4,Manual,19995,Used,107,Philadelphia,False,0,0
163,2023-01-14,Customer 163,555-185-5082,customer163@email.com,Hyundai,Sonata,2023,Black,SUV,27746,2.0L I4,CVT,40568,Used,111,New York,False,0,0
